"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)"
"1994-05-31","1994May","-650"
"1994-06-30","1994Jun","31636"
"1994-07-31","1994Jul","-13321"
"1994-08-31","1994Aug","-21127"
"1994-09-30","1994Sep","13814"
"1994-10-31","1994Oct","6203"
"1994-11-30","1994Nov","13784"
"1994-12-31","1994Dec","65710"
"1995-01-31","1995Jan","-67018"
"1995-02-28","1995Feb","-5920"
"1995-03-31","1995Mar","-3852"
"1995-04-30","1995Apr","15354"
"1995-05-31","1995May","3203"
"1995-06-30","1995Jun","22991"
"1995-07-31","1995Jul","-6466"
"1995-08-31","1995Aug","-21191"
"1995-09-30","1995Sep","27717"
"1995-10-31","1995Oct","-6445"
"1995-11-30","1995Nov","27618"
"1995-12-31","1995Dec","98171"
"1996-01-31","1996Jan","-83196"
"1996-02-29","1996Feb","-11654"
"1996-03-31","1996Mar","13151"
"1996-04-30","1996Apr","15321"
"1996-05-31","1996May","-934"
"1996-06-30","1996Jun","39723"
"1996-07-31","1996Jul","-17659"
"1996-08-31","1996Aug","-13642"
"1996-09-30","1996Sep","33929"
"1996-10-31","1996Oct","-3081"
"1996-11-30","1996Nov","38244"
"1996-12-31","1996Dec","95283"
"1997-01-31","1997Jan","-82825"
"1997-02-28","1997Feb","-5135"
"1997-03-31","1997Mar","15149"
"1997-04-30","1997Apr","147"
"1997-05-31","1997May","20404"
"1997-06-30","1997Jun","48342"
"1997-07-31","1997Jul","-10939"
"1997-08-31","1997Aug","-15947"
"1997-09-30","1997Sep","24244"
"1997-10-31","1997Oct","3427"
"1997-11-30","1997Nov","34260"
"1997-12-31","1997Dec","57151"
"1998-01-31","1998Jan","-60450"
"1998-02-28","1998Feb","2349"
"1998-03-31","1998Mar","29733"
"1998-04-30","1998Apr","16843"
"1998-05-31","1998May","18417"
"1998-06-30","1998Jun","47431"
"1998-07-31","1998Jul","-37456"
"1998-08-31","1998Aug","-12927"
"1998-09-30","1998Sep","24003"
"1998-10-31","1998Oct","2688"
"1998-11-30","1998Nov","48723"
"1998-12-31","1998Dec","76252"
"1999-01-31","1999Jan","20861"
"1999-02-28","1999Feb","-31464"
"1999-03-31","1999Mar","19262"
"1999-04-30","1999Apr","14074"
"1999-05-31","1999May","31986"
"1999-06-30","1999Jun","42748"
"1999-07-31","1999Jul","-144"
"1999-08-31","1999Aug","-35226"
"1999-09-30","1999Sep","25977"
"1999-10-31","1999Oct","5487"
"1999-11-30","1999Nov","33360"
"1999-12-31","1999Dec","53406"
"2000-01-31","2000Jan","9522"
"2000-02-29","2000Feb","-8820"
"2000-03-31","2000Mar","10771"
"2000-04-30","2000Apr","38830"
"2000-05-31","2000May","-14180"
"2000-06-30","2000Jun","16541"
"2000-07-31","2000Jul","-2973"
"2000-08-31","2000Aug","-35416"
"2000-09-30","2000Sep","11660"
"2000-10-31","2000Oct","-2323"
"2000-11-30","2000Nov","20987"
"2000-12-31","2000Dec","67810"
"2001-01-31","2001Jan","-70833"
"2001-02-28","2001Feb","23"
"2001-03-31","2001Mar","9858"
"2001-04-30","2001Apr","33682"
"2001-05-31","2001May","17436"
"2001-06-30","2001Jun","41545"
"2001-07-31","2001Jul","-21787"
"2001-08-31","2001Aug","-37674"
"2001-09-30","2001Sep","58647"
"2001-10-31","2001Oct","-11039"
"2001-11-30","2001Nov","34180"
"2001-12-31","2001Dec","68616"
"2002-01-31","2002Jan","-40611"
"2002-02-28","2002Feb","-10865"
"2002-03-31","2002Mar","10681"
"2002-04-30","2002Apr","40945"
"2002-05-31","2002May","14632"
"2002-06-30","2002Jun","61201"
"2002-07-31","2002Jul","-22784"
"2002-08-31","2002Aug","-26401"
"2002-09-30","2002Sep","62967"
"2002-10-31","2002Oct","-9198"
