"DATE","TIME PERIOD","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M20.X.4.U2.2300.Z01.E)"
"1989-03-31","1989Mar","5586"
"1989-04-30","1989Apr","17844"
"1989-05-31","1989May","7379"
"1989-06-30","1989Jun","28501"
"1989-07-31","1989Jul","22091"
"1989-08-31","1989Aug","-12037"
"1989-09-30","1989Sep","16537"
"1989-10-31","1989Oct","7881"
"1989-11-30","1989Nov","22027"
"1989-12-31","1989Dec","102834"
"1990-01-31","1990Jan","-39379"
"1990-02-28","1990Feb","-9696"
"1990-03-31","1990Mar","-10077"
"1990-04-30","1990Apr","16218"
"1990-05-31","1990May","-221"
"1990-06-30","1990Jun","28022"
"1990-07-31","1990Jul","7499"
"1990-08-31","1990Aug","-14075"
"1990-09-30","1990Sep","37977"
"1990-10-31","1990Oct","-2352"
"1990-11-30","1990Nov","16096"
"1990-12-31","1990Dec","116639"
"1991-01-31","1991Jan","-58507"
"1991-02-28","1991Feb","-928"
"1991-03-31","1991Mar","1212"
"1991-04-30","1991Apr","11652"
"1991-05-31","1991May","1581"
"1991-06-30","1991Jun","38196"
"1991-07-31","1991Jul","-6630"
"1991-08-31","1991Aug","-7954"
"1991-09-30","1991Sep","19911"
"1991-10-31","1991Oct","-927"
"1991-11-30","1991Nov","33092"
"1991-12-31","1991Dec","118978"
"1992-01-31","1992Jan","-73096"
"1992-02-29","1992Feb","-5295"
"1992-03-31","1992Mar","12370"
"1992-04-30","1992Apr","19120"
"1992-05-31","1992May","13208"
"1992-06-30","1992Jun","14785"
"1992-07-31","1992Jul","-7543"
"1992-08-31","1992Aug","-3827"
"1992-09-30","1992Sep","35941"
"1992-10-31","1992Oct","-1507"
"1992-11-30","1992Nov","34902"
"1992-12-31","1992Dec","92412"
"1993-01-31","1993Jan","-57093"
"1993-02-28","1993Feb","-3003"
"1993-03-31","1993Mar","23102"
"1993-04-30","1993Apr","10652"
"1993-05-31","1993May","19813"
"1993-06-30","1993Jun","22457"
"1993-07-31","1993Jul","-2114"
"1993-08-31","1993Aug","-4987"
"1993-09-30","1993Sep","18283"
"1993-10-31","1993Oct","20303"
"1993-11-30","1993Nov","33573"
"1993-12-31","1993Dec","129375"
"1994-01-31","1994Jan","-44564"
"1994-02-28","1994Feb","-3103"
"1994-03-31","1994Mar","24396"
"1994-04-30","1994Apr","6741"
"1994-05-31","1994May","-4287"
"1994-06-30","1994Jun","25210"
"1994-07-31","1994Jul","-5461"
"1994-08-31","1994Aug","-23178"
"1994-09-30","1994Sep","9708"
"1994-10-31","1994Oct","4119"
"1994-11-30","1994Nov","8275"
"1994-12-31","1994Dec","95657"
"1995-01-31","1995Jan","-62926"
"1995-02-28","1995Feb","-3648"
"1995-03-31","1995Mar","3578"
"1995-04-30","1995Apr","10814"
"1995-05-31","1995May","5370"
"1995-06-30","1995Jun","25950"
"1995-07-31","1995Jul","-6231"
"1995-08-31","1995Aug","-6437"
"1995-09-30","1995Sep","29755"
"1995-10-31","1995Oct","2634"
"1995-11-30","1995Nov","27347"
"1995-12-31","1995Dec","134267"
"1996-01-31","1996Jan","-59439"
"1996-02-29","1996Feb","-5049"
"1996-03-31","1996Mar","11274"
"1996-04-30","1996Apr","14986"
"1996-05-31","1996May","3407"
"1996-06-30","1996Jun","34796"
"1996-07-31","1996Jul","-10799"
"1996-08-31","1996Aug","-3681"
"1996-09-30","1996Sep","23340"
"1996-10-31","1996Oct","-2743"
"1996-11-30","1996Nov","35589"
"1996-12-31","1996Dec","124750"
"1997-01-31","1997Jan","-63287"
"1997-02-28","1997Feb","-6089"
"1997-03-31","1997Mar","5103"
"1997-04-30","1997Apr","-1618"
"1997-05-31","1997May","17787"
"1997-06-30","1997Jun","32871"
"1997-07-31","1997Jul","-6846"
"1997-08-31","1997Aug","-10590"
"1997-09-30","1997Sep","11237"
"1997-10-31","1997Oct","14091"
"1997-11-30","1997Nov","30787"
"1997-12-31","1997Dec","87783"
"1998-01-31","1998Jan","-31016"
"1998-02-28","1998Feb","2562"
"1998-03-31","1998Mar","4925"
"1998-04-30","1998Apr","34326"
"1998-05-31","1998May","19763"
"1998-06-30","1998Jun","29407"
"1998-07-31","1998Jul","-30899"
"1998-08-31","1998Aug","-7243"
"1998-09-30","1998Sep","12330"
"1998-10-31","1998Oct","13896"
"1998-11-30","1998Nov","47710"
"1998-12-31","1998Dec","132007"
"1999-01-31","1999Jan","35377"
"1999-02-28","1999Feb","-44896"
"1999-03-31","1999Mar","14904"
"1999-04-30","1999Apr","20016"
"1999-05-31","1999May","27688"
"1999-06-30","1999Jun","24817"
"1999-07-31","1999Jul","19273"
"1999-08-31","1999Aug","-32664"
"1999-09-30","1999Sep","9739"
"1999-10-31","1999Oct","15577"
"1999-11-30","1999Nov","25481"
"1999-12-31","1999Dec","92190"
"2000-01-31","2000Jan","-6809"
"2000-02-29","2000Feb","-2506"
"2000-03-31","2000Mar","7196"
"2000-04-30","2000Apr","36987"
"2000-05-31","2000May","-3553"
"2000-06-30","2000Jun","12055"
"2000-07-31","2000Jul","-4762"
"2000-08-31","2000Aug","-11825"
"2000-09-30","2000Sep","2717"
"2000-10-31","2000Oct","-12"
"2000-11-30","2000Nov","28227"
"2000-12-31","2000Dec","98943"
"2001-01-31","2001Jan","-52604"
"2001-02-28","2001Feb","6550"
"2001-03-31","2001Mar","24729"
"2001-04-30","2001Apr","38088"
"2001-05-31","2001May","14653"
"2001-06-30","2001Jun","47910"
"2001-07-31","2001Jul","-8339"
"2001-08-31","2001Aug","-13893"
"2001-09-30","2001Sep","47021"
"2001-10-31","2001Oct","4191"
"2001-11-30","2001Nov","50498"
"2001-12-31","2001Dec","119464"
"2002-01-31","2002Jan","-30021"
"2002-02-28","2002Feb","-10802"
"2002-03-31","2002Mar","26754"
"2002-04-30","2002Apr","39554"
"2002-05-31","2002May","27666"
"2002-06-30","2002Jun","46369"
"2002-07-31","2002Jul","-15779"
"2002-08-31","2002Aug","-7411"
"2002-09-30","2002Sep","41844"
"2002-10-31","2002Oct","19492"
"2002-11-30","2002Nov","65049"
"2002-12-31","2002Dec","101908"
"2003-01-31","2003Jan","-33418"
"2003-02-28","2003Feb","27997"
"2003-03-31","2003Mar","56453"
"2003-04-30","2003Apr","48920"
"2003-05-31","2003May","64237"
"2003-06-30","2003Jun","29865"
"2003-07-31","2003Jul","-4524"
"2003-08-31","2003Aug","-2742"
"2003-09-30","2003Sep","16626"
"2003-10-31","2003Oct","19943"
"2003-11-30","2003Nov","52144"
"2003-12-31","2003Dec","94033"
"2004-01-31","2004Jan","-30461"
"2004-02-29","2004Feb","2489"
"2004-03-31","2004Mar","33738"
"2004-04-30","2004Apr","33330"
"2004-05-31","2004May","35750"
"2004-06-30","2004Jun","30362"
"2004-07-31","2004Jul","19610"
"2004-08-31","2004Aug","-29728"
"2004-09-30","2004Sep","56669"
"2004-10-31","2004Oct","41907"
"2004-11-30","2004Nov","43778"
"2004-12-31","2004Dec","109505"
"2005-01-31","2005Jan","-326"
"2005-02-28","2005Feb","4326"
"2005-03-31","2005Mar","35039"
"2005-04-30","2005Apr","57111"
"2005-05-31","2005May","34118"
"2005-06-30","2005Jun","68237"
"2005-07-31","2005Jul","38950"
"2005-08-31","2005Aug","-35589"
"2005-09-30","2005Sep","77637"
"2005-10-31","2005Oct","36977"
"2005-11-30","2005Nov","23600"
"2005-12-31","2005Dec","149503"
"2006-01-31","2006Jan","-31023"
"2006-02-28","2006Feb","20134"
"2006-03-31","2006Mar","59089"
"2006-04-30","2006Apr","108285"
"2006-05-31","2006May","7292"
"2006-06-30","2006Jun","64681"
"2006-07-31","2006Jul","-4358"
"2006-08-31","2006Aug","-21690"
"2006-09-30","2006Sep","99190"
"2006-10-31","2006Oct","11159"
"2006-11-30","2006Nov","69081"
"2006-12-31","2006Dec","201459"
"2007-01-31","2007Jan","-57783"
"2007-02-28","2007Feb","6801"
"2007-03-31","2007Mar","124351"
"2007-04-30","2007Apr","48616"
"2007-05-31","2007May","51979"
"2007-06-30","2007Jun","94318"
"2007-07-31","2007Jul","41968"
"2007-08-31","2007Aug","-19608"
"2007-09-30","2007Sep","102548"
"2007-10-31","2007Oct","60156"
"2007-11-30","2007Nov","62232"
"2007-12-31","2007Dec","159783"
"2008-01-31","2008Jan","-30596"
"2008-02-29","2008Feb","27748"
"2008-03-31","2008Mar","80689"
"2008-04-30","2008Apr","79126"
"2008-05-31","2008May","61319"
"2008-06-30","2008Jun","49523"
"2008-07-31","2008Jul","10697"
"2008-08-31","2008Aug","-1806"
"2008-09-30","2008Sep","71642"
"2008-10-31","2008Oct","102726"
"2008-11-30","2008Nov","49964"
"2008-12-31","2008Dec","104805"
"2009-01-31","2009Jan","-65480"
"2009-02-28","2009Feb","-7535"
"2009-03-31","2009Mar","11079"
"2009-04-30","2009Apr","71143"
"2009-05-31","2009May","3567"
"2009-06-30","2009Jun","28432"
"2009-07-31","2009Jul","-15849"
"2009-08-31","2009Aug","-15434"
"2009-09-30","2009Sep","9931"
"2009-10-31","2009Oct","26253"
"2009-11-30","2009Nov","-6775"
"2009-12-31","2009Dec","93080"
"2010-01-31","2010Jan","-44368"
"2010-02-28","2010Feb","-32458"
"2010-03-31","2010Mar","-2018"
"2010-04-30","2010Apr","56209"
"2010-05-31","2010May","17659"
"2010-06-30","2010Jun","21075"
"2010-07-31","2010Jul","15277"
"2010-08-31","2010Aug","3559"
"2010-09-30","2010Sep","16730"
"2010-10-31","2010Oct","36771"
"2010-11-30","2010Nov","-2155"
"2010-12-31","2010Dec","90431"
"2011-01-31","2011Jan","-40805"
"2011-02-28","2011Feb","-20480"
"2011-03-31","2011Mar","27012"
"2011-04-30","2011Apr","50617"
"2011-05-31","2011May","-8052"
"2011-06-30","2011Jun","31044"
"2011-07-31","2011Jul","102"
"2011-08-31","2011Aug","10253"
"2011-09-30","2011Sep","25946"
"2011-10-31","2011Oct","-4351"
"2011-11-30","2011Nov","1354"
"2011-12-31","2011Dec","99057"
"2012-01-31","2012Jan","-27332"
"2012-02-29","2012Feb","11787"
"2012-03-31","2012Mar","68700"
"2012-04-30","2012Apr","-1460"
"2012-05-31","2012May","19892"
"2012-06-30","2012Jun","58834"
"2012-07-31","2012Jul","20045"
"2012-08-31","2012Aug","-3988"
"2012-09-30","2012Sep","42480"
"2012-10-31","2012Oct","63495"
"2012-11-30","2012Nov","29902"
"2012-12-31","2012Dec","95729"
"2013-01-31","2013Jan","-35624"
"2013-02-28","2013Feb","8894"
"2013-03-31","2013Mar","57778"
"2013-04-30","2013Apr","54246"
"2013-05-31","2013May","11816"
"2013-06-30","2013Jun","24492"
"2013-07-31","2013Jul","-6979"
"2013-08-31","2013Aug","27896"
"2013-09-30","2013Sep","-1222"
"2013-10-31","2013Oct","22775"
"2013-11-30","2013Nov","33207"
"2013-12-31","2013Dec","15211"
"2014-01-31","2014Jan","-39744"
"2014-02-28","2014Feb","15048"
"2014-03-31","2014Mar","37975"
"2014-04-30","2014Apr","27193"
"2014-05-31","2014May","58863"
"2014-06-30","2014Jun","23784"
"2014-07-31","2014Jul","14754"
"2014-08-31","2014Aug","40543"
"2014-09-30","2014Sep","14985"
"2014-10-31","2014Oct","8834"
"2014-11-30","2014Nov","91526"
"2014-12-31","2014Dec","35384"
"2015-01-31","2015Jan","5740"
"2015-02-28","2015Feb","22116"
"2015-03-31","2015Mar","54060"
"2015-04-30","2015Apr","78499"
"2015-05-31","2015May","64668"
"2015-06-30","2015Jun","39287"
"2015-07-31","2015Jul","45063"
"2015-08-31","2015Aug","11862"
"2015-09-30","2015Sep","7047"
"2015-10-31","2015Oct","67885"
"2015-11-30","2015Nov","55660"
"2015-12-31","2015Dec","54082"
"2016-01-31","2016Jan","38237"
"2016-02-29","2016Feb","15209"
"2016-03-31","2016Mar","55900"
"2016-04-30","2016Apr","75115"
"2016-05-31","2016May","34993"
"2016-06-30","2016Jun","32503"
"2016-07-31","2016Jul","72400"
"2016-08-31","2016Aug","-8946"
"2016-09-30","2016Sep","19381"
"2016-10-31","2016Oct","13616"
"2016-11-30","2016Nov","83074"
"2016-12-31","2016Dec","73281"
"2017-01-31","2017Jan","5163"
"2017-02-28","2017Feb","30896"
"2017-03-31","2017Mar","93770"
"2017-04-30","2017Apr","72844"
"2017-05-31","2017May","28000"
"2017-06-30","2017Jun","73117"
"2017-07-31","2017Jul","31410"
"2017-08-31","2017Aug","48224"
"2017-09-30","2017Sep","19573"
"2017-10-31","2017Oct","15032"
"2017-11-30","2017Nov","71500"
"2017-12-31","2017Dec","67239"
"2018-01-31","2018Jan","-2909"
"2018-02-28","2018Feb","-9064"
"2018-03-31","2018Mar","66973"
"2018-04-30","2018Apr","32504"
"2018-05-31","2018May","96467"
"2018-06-30","2018Jun","106870"
"2018-07-31","2018Jul","-8990"
"2018-08-31","2018Aug","-1391"
"2018-09-30","2018Sep","44279"
"2018-10-31","2018Oct","13594"
"2018-11-30","2018Nov","86892"
"2018-12-31","2018Dec","51431"
"2019-01-31","2019Jan","-17886"
"2019-02-28","2019Feb","46112"
"2019-03-31","2019Mar","138606"
"2019-04-30","2019Apr","56772"
"2019-05-31","2019May","85064"
"2019-06-30","2019Jun","91356"
"2019-07-31","2019Jul","31794"
"2019-08-31","2019Aug","108044"
"2019-09-30","2019Sep","-17323"
"2019-10-31","2019Oct","45541"
"2019-11-30","2019Nov","99307"
"2019-12-31","2019Dec","1136"
"2020-01-31","2020Jan","-37829"
"2020-02-29","2020Feb","77591"
"2020-03-31","2020Mar","320958"
"2020-04-30","2020Apr","178973"
"2020-05-31","2020May","221166"
"2020-06-30","2020Jun","82923"
"2020-07-31","2020Jul","152624"
"2020-08-31","2020Aug","36532"
"2020-09-30","2020Sep","73094"
"2020-10-31","2020Oct","95472"
"2020-11-30","2020Nov","127061"
"2020-12-31","2020Dec","135625"
"2021-01-31","2021Jan","33805"
"2021-02-28","2021Feb","73420"
"2021-03-31","2021Mar","88024"
"2021-04-30","2021Apr","68749"
"2021-05-31","2021May","119129"
"2021-06-30","2021Jun","93895"
"2021-07-31","2021Jul","130174"
"2021-08-31","2021Aug","43762"
"2021-09-30","2021Sep","44930"
"2021-10-31","2021Oct","82399"
"2021-11-30","2021Nov","73950"
"2021-12-31","2021Dec","120442"
"2022-01-31","2022Jan","-2119"
"2022-02-28","2022Feb","67236"
"2022-03-31","2022Mar","108213"
"2022-04-30","2022Apr","65578"
"2022-05-31","2022May","63379"
"2022-06-30","2022Jun","79264"
"2022-07-31","2022Jul","126392"
"2022-08-31","2022Aug","71452"
"2022-09-30","2022Sep","-1851"
"2022-10-31","2022Oct","-77104"
"2022-11-30","2022Nov","20723"
"2022-12-31","2022Dec","12587"
"2023-01-31","2023Jan","-149867"
"2023-02-28","2023Feb","-63497"
"2023-03-31","2023Mar","10130"
"2023-04-30","2023Apr","-17967"
"2023-05-31","2023May","-44913"
"2023-06-30","2023Jun","22303"
"2023-07-31","2023Jul","-28353"
"2023-08-31","2023Aug","-45118"
"2023-09-30","2023Sep","44618"
"2023-10-31","2023Oct","-87752"
"2023-11-30","2023Nov","54599"
"2023-12-31","2023Dec","166371"
"2024-01-31","2024Jan","-184693"
"2024-02-29","2024Feb","15075"
"2024-03-31","2024Mar","103247"
"2024-04-30","2024Apr","-22801"
"2024-05-31","2024May","48710"
"2024-06-30","2024Jun","154111"
"2024-07-31","2024Jul","-70372"
"2024-08-31","2024Aug","57239"
"2024-09-30","2024Sep","53409"
"2024-10-31","2024Oct","-26832"
"2024-11-30","2024Nov","169099"
"2024-12-31","2024Dec","86966"
"2025-01-31","2025Jan","-131281"
