"DATE","TIME PERIOD","Monetary aggregate M2 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M20.X.4.U2.2300.Z01.E)"
"1980-02-29","1980Feb","-257"
"1980-03-31","1980Mar","10039"
"1980-04-30","1980Apr","2006"
"1980-05-31","1980May","5559"
"1980-06-30","1980Jun","14423"
"1980-07-31","1980Jul","5517"
"1980-08-31","1980Aug","-46"
"1980-09-30","1980Sep","6570"
"1980-10-31","1980Oct","4831"
"1980-11-30","1980Nov","25324"
"1980-12-31","1980Dec","43795"
"1981-01-31","1981Jan","-12247"
"1981-02-28","1981Feb","5651"
"1981-03-31","1981Mar","3629"
"1981-04-30","1981Apr","6913"
"1981-05-31","1981May","14338"
"1981-06-30","1981Jun","8000"
"1981-07-31","1981Jul","-189"
"1981-08-31","1981Aug","-1612"
"1981-09-30","1981Sep","12983"
"1981-10-31","1981Oct","3612"
"1981-11-30","1981Nov","16967"
"1981-12-31","1981Dec","52216"
"1982-01-31","1982Jan","-3798"
"1982-02-28","1982Feb","4388"
"1982-03-31","1982Mar","4348"
"1982-04-30","1982Apr","8069"
"1982-05-31","1982May","12192"
"1982-06-30","1982Jun","14619"
"1982-07-31","1982Jul","6279"
"1982-08-31","1982Aug","4141"
"1982-09-30","1982Sep","11775"
"1982-10-31","1982Oct","8116"
"1982-11-30","1982Nov","13522"
"1982-12-31","1982Dec","57957"
"1983-01-31","1983Jan","-7602"
"1983-02-28","1983Feb","2286"
"1983-03-31","1983Mar","-3370"
"1983-04-30","1983Apr","9215"
"1983-05-31","1983May","10177"
"1983-06-30","1983Jun","13848"
"1983-07-31","1983Jul","12619"
"1983-08-31","1983Aug","-4270"
"1983-09-30","1983Sep","4482"
"1983-10-31","1983Oct","13084"
"1983-11-30","1983Nov","15669"
"1983-12-31","1983Dec","63206"
"1984-01-31","1984Jan","-18457"
"1984-02-29","1984Feb","-4485"
"1984-03-31","1984Mar","-1194"
"1984-04-30","1984Apr","12871"
"1984-05-31","1984May","8879"
"1984-06-30","1984Jun","14023"
"1984-07-31","1984Jul","10746"
"1984-08-31","1984Aug","-4688"
"1984-09-30","1984Sep","26302"
"1984-10-31","1984Oct","54"
"1984-11-30","1984Nov","11498"
"1984-12-31","1984Dec","76055"
"1985-01-31","1985Jan","-17612"
"1985-02-28","1985Feb","3056"
"1985-03-31","1985Mar","4199"
"1985-04-30","1985Apr","6099"
"1985-05-31","1985May","-3487"
"1985-06-30","1985Jun","23566"
"1985-07-31","1985Jul","2530"
"1985-08-31","1985Aug","-8925"
"1985-09-30","1985Sep","17055"
"1985-10-31","1985Oct","1654"
"1985-11-30","1985Nov","11091"
"1985-12-31","1985Dec","70565"
"1986-01-31","1986Jan","-27682"
"1986-02-28","1986Feb","-5842"
"1986-03-31","1986Mar","15434"
"1986-04-30","1986Apr","-5150"
"1986-05-31","1986May","4052"
"1986-06-30","1986Jun","22045"
"1986-07-31","1986Jul","8508"
"1986-08-31","1986Aug","920"
"1986-09-30","1986Sep","15470"
"1986-10-31","1986Oct","6707"
"1986-11-30","1986Nov","25563"
"1986-12-31","1986Dec","61697"
"1987-01-31","1987Jan","-19359"
"1987-02-28","1987Feb","-7240"
"1987-03-31","1987Mar","5921"
"1987-04-30","1987Apr","10991"
"1987-05-31","1987May","12511"
"1987-06-30","1987Jun","20861"
"1987-07-31","1987Jul","147"
"1987-08-31","1987Aug","-1633"
"1987-09-30","1987Sep","12340"
"1987-10-31","1987Oct","8439"
"1987-11-30","1987Nov","21286"
"1987-12-31","1987Dec","61349"
"1988-01-31","1988Jan","-18842"
"1988-02-29","1988Feb","-10302"
"1988-03-31","1988Mar","-3680"
"1988-04-30","1988Apr","19743"
"1988-05-31","1988May","13578"
"1988-06-30","1988Jun","20974"
"1988-07-31","1988Jul","19239"
"1988-08-31","1988Aug","-9059"
"1988-09-30","1988Sep","7040"
"1988-10-31","1988Oct","21030"
"1988-11-30","1988Nov","19175"
"1988-12-31","1988Dec","73128"
"1989-01-31","1989Jan","-26871"
"1989-02-28","1989Feb","-5601"
